,date,content
46,2019-10-31,"North Korea test-fired two short-range projectiles from Sunchon at 4:35 p.m. and 4:38 p.m. Both flew around 370 km and reached a maximum altitude of 90 km before falling in the Sea of Japan.[87]
"
47,2019-11-28,"North Korea test-launched two ""short-range projectiles"".[88] Rocket exhaust was visible from Russia.[89]
"
48,2020-03-02,"North Korea carried out test-launch of two unidentified projectiles from eastwards over the sea from the Wonsan area on the east coast. Projectiles are equipped with an operational range of 240 kilometres, and capable to flew a height of 35 kilometres.[90]
"
49,2021-03-25,"North Korea carried out test-launch of two upgraded KN-23 short-range ballistic missiles carrying a 2.5 live warhead each that correctly hit the simulated targets. While North Korea official statement reported a 600 km range, Japanese and South Korean sources reported that the missiles flew just over 400 km.[91] Later, the South Korean Joint Chiefs of Staff revised their range assessment of new North Korean missile to 600 km and the Defense Minister said that blind spots due to earth curvature led to initial estimate of 450 km.[92]
"
50,2021-09-11,"North Korea carried out tests of a new long-range cruise missile on 11 and 12 September 2021, according to the KCNA. The missiles flew for 1,500 kilometres and successfully hit their target in North Korea's waters, and were meant for a ""strategic role"" according to the news agency, which analyst Ankit Panda stated was a common euphemism for a missile capable of carrying nuclear warheads.[93]
"
51,2021-09-15,"North Korea fired two unidentified ballistic missiles towards the Sea of Japan. Japan's Ministry of Defense stated that they had landed in the country's exclusive economic zone. The South Korean Joint Chiefs of Staff reported that the missiles flew for 800 kilometres, while reaching an altitude of 60 kilometres,[94] and were fired from Yangdok County. KCNA later stated that they were part of a railway-borne missile system.[95]
"
52,2021-09-28,"A short-range missile was fired by North Korea towards the Sea of Japan from Chagang Province, according to South Korean officials. The Japanese government meanwhile suspected it to be a ballistic missile.[96] Rodong Sinmun stated that North Korea had tested a new hypersonic missile called Hwasong-8 and it was launched from Toyang-ri in Ryongrim County. The test, including that of its gliding warhead, was a success according to the state media, which also called it a weapon of ""great strategic significance"".[97]
"
53,2021-09-30,"KCNA stated that North Korea had successfully tested a new anti-aircraft missile. It added that the missile contained the new technologies of twin-rudder control and double-impulse flight engine.[98]
"
54,2021-10-19,"South Korea JCS announced that a ballistic missile was fired from Sinpo at 10:17am;[99] JoongAng Ilbo claims that the missile fired was a SLBM.[100] Rodong Sinmun reported on the launch on 20 October, revealing that it was a new SLBM launched from a Sinpo-class submarine named 'Hero 8.24'. The new missile features advanced guidance technologies, and can conduct 'pull-up' maneuvres.[101][99]
"
55,2022-01-05,"North Korea test-fired a hypersonic missile, in the first major weapons test by the nation in 2022 and claimed the same as ""The successive successes"" in the test launches.[102]
"
